alloy,Temperature,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,Ni_a,Al_a,Co_a,Cr_a,Mo_a,Re_a,Ru_a,Ti_a,Ta_a,W_a,Hf_a,Ni_A1,Al_A1,Co_A1,Cr_A1,Mo_A1,Re_A1,Ru_A1,Ti_A1,Ta_A1,W_A1,Hf_A1,Ni_L12,Al_L12,Co_L12,Cr_L12,Mo_L12,Re_L12,Ru_L12,Ti_L12,Ta_L12,W_L12,Hf_L12,gamapie,k(g2/m4/h),CE_avg,CE_var,PE_avg,PE_var,IE_avg,IE_var,VE_avg,VE_var,a_r_avg,a_r_var,i_r_avg,i_r_var,ion_v_avg,ion_v_var,e_a_con_avg,e_a_con_var,Val_eff_c,Val_eff_γ,Val_eff_γ',G_al2O3,D_Ni,D_Ni3Al,classify_label
DD32M,900.0,0.662132272370377,0.13622581436750983,0.08751701171764234,0.05016017020842379,0.006796062665028757,0.0,0.0,0.0,0.01244969406380887,0.027408709193917774,0.0,0.010209722481017855,0.0,0.006916023468131158,2.000456731903597e-05,0.0,0.00016451489682352432,0.00131783,7.73e-09,0.000554457,0.001442833,0.000191914,3.43e-14,5.73e-14,4.72e-19,1.1e-09,0.000902646,6.6900000000000006e-21,0.16673,0.017495229,0.038098605,0.023623967,0.00180772,0.0,0.0,0.0,0.000854933,0.008902121,0.0,0.512822993,0.118679602,0.04938301,0.026521743,0.004989533,0.0,0.0,0.0,0.011590269,0.018495426,0.0,0.74249,0.001586668,4.5086527829935354,1.033660090891674,1.8641640878590955,0.16543328673920613,715.5708184389558,69.62712003405981,1.4036064831971187,0.46796921339623865,0.14793605269567728,0.017742455449285814,68.23227734434342,9.614995913254235,2.492716899764247,1.0261397118700883,1.4237309312382422,0.7270629557746748,-0.5072831002357528,-0.13289061099999996,-0.419187578,-611.4392148289926,4.500742642852949e-19,2.154456901504942e-10,0
DD32M,1000.0,0.662132272370377,0.13622581436750983,0.08751701171764234,0.05016017020842379,0.006796062665028757,0.0,0.0,0.0,0.01244969406380887,0.027408709193917774,0.0,0.010209722481017855,0.0,0.006916023468131158,2.000456731903597e-05,0.0,0.00016451489682352432,0.001034468,2.72e-08,0.000372198,0.001054735,0.000190865,1.83e-14,2.85e-14,9.79e-19,3.06e-09,0.000797987,1.7e-20,0.241991539,0.032202151,0.048004718,0.029486085,0.00294824,0.0,0.0,0.0,0.001846335,0.012050931,0.0,0.437564507,0.103971535,0.039479504,0.020661698,0.003845652,0.0,0.0,0.0,0.010602381,0.015344721,0.0,0.63147,0.033833189,4.5086527829935354,1.033660090891674,1.8641640878590955,0.16543328673920613,715.5708184389558,69.62712003405981,1.4036064831971187,0.46796921339623865,0.14793605269567728,0.017742455449285814,68.23227734434342,9.614995913254235,2.492716899764247,1.0261397118700883,1.4237309312382422,0.7270629557746748,-0.5072831002357528,-0.19330135599999998,-0.358788626,-585.221815838961,3.1548883326580317e-18,2.2072189856363996e-08,0
DD32M,1100.0,0.662132272370377,0.13622581436750983,0.08751701171764234,0.05016017020842379,0.006796062665028757,0.0,0.0,0.0,0.01244969406380887,0.027408709193917774,0.0,0.010209722481017855,0.0,0.006916023468131158,2.000456731903597e-05,0.0,0.00016451489682352432,0.000817851,7.88e-08,0.000249496,0.000749533,0.000178986,9.79e-15,1.47e-14,1.54e-18,7.39e-09,0.000711273,3.83e-20,0.37452597,0.060936655,0.063163165,0.037592035,0.004599205,0.0,0.0,0.0,0.004036955,0.017396015,0.0,0.305028578,0.07524047,0.02432139,0.01255467,0.002197505,0.0,0.0,0.0,0.008409178,0.010002587,0.0,0.43775,0.663210948,4.5086527829935354,1.033660090891674,1.8641640878590955,0.16543328673920613,715.5708184389558,69.62712003405981,1.4036064831971187,0.46796921339623865,0.14793605269567728,0.017742455449285814,68.23227734434342,9.614995913254235,2.492716899764247,1.0261397118700883,1.4237309312382422,0.7270629557746748,-0.5072831002357528,-0.30046639999999997,-0.251609946,-558.8344195451641,1.0004946747699487e-17,7.025009740220792e-06,0
CMSX-4,1000.0,0.635780242394794,0.12552552739495043,0.10262414029707653,0.06978046831969292,0.0037817450261845038,0.009743781827669258,0.0,0.012633466863811822,0.020054075122272752,0.019737730377632896,0.00033882237591499354,0.0,0.0,0.0,0.0,0.0,0.0,0.000819877,4.33e-08,0.000421393,0.001761624,0.00015195,0.000265745,2.99e-14,1.77e-08,1.07e-08,0.000941118,1.21e-11,0.248165342,0.031183474,0.07751789,0.056209109,0.002990318,0.009024114,0.0,0.001718879,0.002294792,0.013888364,1.33e-05,0.387620481,0.094331826,0.025097969,0.013579416,0.000790926,0.000718517,0.0,0.010911434,0.017762411,0.005848395,0.000323054,0.55699,0.003312,4.487449652057275,0.9801591527674762,1.8484452424118332,0.15878239749220163,713.7180411613039,62.256389272502346,1.4205776174137346,0.43544536686524665,0.14939022016378892,0.01623760276090412,68.80313214626831,8.082901356937729,2.5073461869562697,0.9971517497257795,1.3788440661303405,0.6641258289023775,-0.4926538130437309,-0.17315930499999999,-0.319506174,-591.7835886558292,5.4210009121916665e-19,1.1484105089484843e-07,0
CMSX-6,1000.0,0.6729933231419629,0.09868549661676854,0.0463155705752944,0.10390483817825887,0.016835282118888635,0.0,0.0,0.054805590240361385,0.006156909775034455,0.0003029893534309003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00089405,2.42e-08,0.00018163,0.003076819,0.000793854,3.24e-14,3.2e-14,7.86e-08,3.29e-09,2.02e-05,1.15e-19,0.263892455,0.02208417,0.03226757,0.090265485,0.015477905,0.0,0.0,0.006640785,0.00062136,0.00025027,0.0,0.409109655,0.076594005,0.014047635,0.013649685,0.001358715,0.0,0.0,0.04815195,0.00553719,5.12e-05,0.0,0.5685,0.00828,4.381273730153175,0.5605624492698198,1.834571438695214,0.15833146689384633,708.6570980414125,60.51702968374454,1.417999184901439,0.31771392201196985,0.15034340999907836,0.014496075153557641,69.20075989603716,7.1784618803386095,2.445540901065426,0.8931700833907225,1.3169921266191789,0.5886325994284671,-0.554459098934574,-0.20882442500000004,-0.34565358000000007,-583.5724752666056,1.1662477476357972e-18,1.4015394114080043e-07,0
DD6,980.0,0.6476443525103129,0.12933525955683597,0.0951649285035239,0.05152713187577874,0.012988406546726103,0.006693005414384369,0.0,0.0,0.025828401849197997,0.027115700786735628,0.0003491057224938006,0.003353707234010682,0.0,0.0,0.0,0.0,0.0,0.000912956,3.11e-08,0.000448063,0.001332319,0.000526912,0.000206528,3.48e-14,1.6e-18,8.27e-09,0.001175361,6.13e-12,0.23696844,0.028546907,0.070405865,0.038866104,0.009560734,0.006047205,0.0,0.0,0.002299988,0.017276557,8.2e-06,0.414719158,0.100527608,0.024568433,0.012567426,0.003404415,0.000631321,0.0,0.0,0.023476896,0.009782532,0.000342212,0.59002,1.2672,4.560410723939461,1.109705042253907,1.859002679754032,0.1613802637016339,715.0012333986435,61.81934850579411,1.4441198795420613,0.4896054475274233,0.14964088308173282,0.017349228817582097,68.6473457491071,8.261851507035033,2.5447673042077525,1.114435054473718,1.397782873191228,0.6744099655570842,-0.45523269579224784,-0.13975398099999997,-0.32659967100000004,-595.5989194291074,5.6167120719333315e-19,4.3396654660163685e-08,1
DD6,950.0,0.6476443525103129,0.12933525955683597,0.0951649285035239,0.05152713187577874,0.012988406546726103,0.006693005414384369,0.0,0.0,0.025828401849197997,0.027115700786735628,0.0003491057224938006,0.003353707234010682,0.0,0.0,0.0,0.0,0.0,0.000971325,2.24e-08,0.000503188,0.001486777,0.000564612,0.000230171,4.24e-14,1.32e-18,6.1e-09,0.001267442,4.47e-12,0.218901839,0.024383087,0.069123861,0.038270144,0.009234969,0.006074626,0.0,0.0,0.001730115,0.016739824,7.69e-06,0.432785298,0.104689342,0.02585226,0.013160031,0.003730112,0.000603219,0.0,0.0,0.024048757,0.010322438,0.000344697,0.61553,0.8496,4.560410723939461,1.109705042253907,1.859002679754032,0.1613802637016339,715.0012333986435,61.81934850579411,1.4441198795420613,0.4896054475274233,0.14964088308173282,0.017349228817582097,68.6473457491071,8.261851507035033,2.5447673042077525,1.114435054473718,1.397782873191228,0.6744099655570842,-0.45523269579224784,-0.125360288,-0.34097899899999995,-603.8786452516708,2.8922878733856177e-19,1.4742584756478448e-08,1
DD10,900.0,0.6385975538136597,0.08682192928401522,0.04968724868663522,0.1407725752453564,0.003051661870873802,0.0,0.0,0.048933688157149165,0.017800798726725735,0.014334544215584595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00085799,1.25e-08,0.00023629,0.006884374,0.000202945,4.34e-14,4.46e-14,7.03e-08,8.32e-09,0.002164061,1.13e-19,0.209440807,0.011019406,0.03875418,0.123612816,0.00290406,0.0,0.0,0.002491483,0.000805126,0.011536128,0.0,0.427445944,0.075796997,0.010227285,0.014012093,0.000124578,0.0,0.0,0.046432112,0.01699604,0.002200883,0.0,0.59323,0.185,4.451101953981796,0.814331370300619,1.8290793282114857,0.17158609604940578,709.4522922097852,59.755686906720975,1.4638149368605855,0.38825087253821655,0.15183560411492408,0.015473215273081172,69.34397511771549,6.794798212833025,2.498096350056316,0.9546742856956343,1.2912676716706029,0.5570588629031851,-0.5019036499436839,-0.162018508,-0.340045369,-617.6895591646258,2.896320531877964e-20,1.360518714813425e-08,2
DD10,980.0,0.6385975538136597,0.08682192928401522,0.04968724868663522,0.1407725752453564,0.003051661870873802,0.0,0.0,0.048933688157149165,0.017800798726725735,0.014334544215584595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072977,3.03e-08,0.000185037,0.005123883,0.000153482,3.06e-14,2.95e-14,1.53e-07,1.88e-08,0.001585248,1.9e-19,0.244809164,0.017439732,0.039801133,0.125982136,0.002917879,0.0,0.0,0.005412486,0.001796657,0.012130813,0.0,0.393795753,0.069373402,0.009883786,0.01480369,0.00013193,0.0,0.0,0.043509547,0.016007555,0.002204337,0.0,0.54971,0.52,4.451101953981796,0.814331370300619,1.8290793282114857,0.17158609604940578,709.4522922097852,59.755686906720975,1.4638149368605855,0.38825087253821655,0.15183560411492408,0.015473215273081172,69.34397511771549,6.794798212833025,2.498096350056316,0.9546742856956343,1.2912676716706029,0.5570588629031851,-0.5019036499436839,-0.190657288,-0.311262295,-595.2369032300326,2.211373928902588e-19,1.5757221632142708e-07,2
DD10,1000.0,0.6385975538136597,0.08682192928401522,0.04968724868663522,0.1407725752453564,0.003051661870873802,0.0,0.0,0.048933688157149165,0.017800798726725735,0.014334544215584595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000702528,3.7e-08,0.000174133,0.004750112,0.000144014,2.79e-14,2.65e-14,1.81e-07,2.25e-08,0.00145112,2.11e-19,0.256396222,0.019557262,0.040013442,0.12596945,0.002915658,0.0,0.0,0.006562558,0.002170442,0.012174966,0.0,0.382205981,0.067260816,0.009669744,0.014814475,0.00013356,0.0,0.0,0.042365232,0.01562652,0.00215833,0.0,0.53424,1.3,4.451101953981796,0.814331370300619,1.8290793282114857,0.17158609604940578,709.4522922097852,59.755686906720975,1.4638149368605855,0.38825087253821655,0.15183560411492408,0.015473215273081172,69.34397511771549,6.794798212833025,2.498096350056316,0.9546742856956343,1.2912676716706029,0.5570588629031851,-0.5019036499436839,-0.20022090800000003,-0.301712039,-589.5644890855995,3.552613716231436e-19,3.1421154936097576e-07,2
DD10,1100.0,0.6385975538136597,0.08682192928401522,0.04968724868663522,0.1407725752453564,0.003051661870873802,0.0,0.0,0.048933688157149165,0.017800798726725735,0.014334544215584595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000581331,9.14e-08,0.000126486,0.003236877,0.000106447,1.62e-14,1.46e-14,3.84e-07,5.01e-08,0.000923531,3.42e-19,0.352558528,0.036322328,0.042425866,0.128222122,0.002923242,0.0,0.0,0.017180772,0.005463892,0.01270325,0.0,0.286048662,0.050492188,0.00725971,0.012564728,0.000128704,0.0,0.0,0.031741624,0.012335474,0.00162891,0.0,0.4022,2.59,4.451101953981796,0.814331370300619,1.8290793282114857,0.17158609604940578,709.4522922097852,59.755686906720975,1.4638149368605855,0.38825087253821655,0.15183560411492408,0.015473215273081172,69.34397511771549,6.794798212833025,2.498096350056316,0.9546742856956343,1.2912676716706029,0.5570588629031851,-0.5019036499436839,-0.277570496,-0.224363248,-561.09231069106,2.3429334749014858e-18,2.8423385384627966e-05,2
DD10H,1000.0,0.6236684397060949,0.08682722188608025,0.06459736086102959,0.14078115663981042,0.0030518478979760883,0.0,0.0,0.04893667111941603,0.017801883850551908,0.014335418039040747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000673359,4.04e-08,0.000222586,0.004632928,0.000143823,2.6e-14,2.62e-14,2e-07,2.82e-08,0.001419774,2.3e-19,0.250763518,0.020185475,0.051975938,0.126697276,0.002915469,0.0,0.0,0.006816983,0.002384522,0.012320819,0.0,0.372912498,0.066636598,0.012617301,0.014095192,0.000136744,0.0,0.0,0.042112016,0.015420561,0.00201435,0.0,0.52594,1.31,4.450491745130974,0.8143715759580726,1.8286271828475444,0.17163041537724416,709.7979418658208,59.825184445955294,1.4614330840561465,0.38875384278898023,0.15188049822112856,0.015478021499229099,69.37362737490936,6.79939155603886,2.5130337969254755,0.9624789002943498,1.2893377528271734,0.557301913686548,-0.48696620307452454,-0.193468627,-0.293506078,-590.8052150216806,2.44818194387872e-19,3.950546517921122e-07,2
DD10H,1100.0,0.6236684397060949,0.08682722188608025,0.06459736086102959,0.14078115663981042,0.0030518478979760883,0.0,0.0,0.04893667111941603,0.017801883850551908,0.014335418039040747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000558405,9.92e-08,0.000160494,0.003161084,0.000105527,1.51e-14,1.41e-14,4.25e-07,6.07e-08,0.000903237,3.7e-19,0.352731164,0.038228084,0.055412565,0.129117492,0.002929732,0.0,0.0,0.0181508,0.006062577,0.012857586,0.0,0.270948817,0.048594374,0.009182099,0.011673724,0.000123043,0.0,0.0,0.030772335,0.011735245,0.001480364,0.0,0.38451,2.81,4.450491745130974,0.8143715759580726,1.8286271828475444,0.17163041537724416,709.7979418658208,59.825184445955294,1.4614330840561465,0.38875384278898023,0.15188049822112856,0.015478021499229099,69.37362737490936,6.79939155603886,2.5130337969254755,0.9624789002943498,1.2893377528271734,0.557301913686548,-0.48696620307452454,-0.27509325599999995,-0.21189577099999996,-562.338864578498,1.551133245954966e-18,4.447380410278445e-05,2
LDSX-1,1100.0,0.699941708084686,0.13831282941239526,0.03166197299801819,0.03588153978410023,0.016204968462508358,0.0207092882678015,0.021537680949527533,0.0032481026195481026,0.022342508468785008,0.009810951913697264,0.00034844903893275293,0.0,0.0,0.0,0.0,0.0,0.0,0.000892516,6.4e-08,0.000103045,0.000520004,0.000489849,0.000470385,0.00071606,4.15e-09,6.75e-09,0.000242916,9.84e-12,0.260803307,0.033857014,0.02096002,0.025528427,0.010641656,0.011973306,0.013320351,0.000542667,0.001889712,0.005338147,1.54e-05,0.438001676,0.104444799,0.009042476,0.009985151,0.004323096,0.002731957,0.00411895,0.002701935,0.020450646,0.00428707,0.000336241,0.60043,0.5868,4.567395473546223,1.0622963533049514,1.8625161317546082,0.1544741520677111,712.3560792365782,62.54416670121277,1.4313413755564204,0.44212080658226555,0.1491933401606185,0.017352625342744468,68.5825126173325,8.584096571620803,2.4893438791251135,1.0536195562322845,1.4212174514515796,0.6949356071636376,-0.5106561208748878,-0.17125944399999998,-0.35864884599999997,-555.667824509958,3.41890021027956e-17,1.6988403478724863e-07,1
